program,kondisi_anak,nilai_1,nilai_2,nilai_3,detail_kegiatan
ident_angka_1,diam,salah,bantu_benar,bantu_benar,anak belum paham dengan materi yang diajarkan
ident_angka_1,terkendali,benar,benar,benar,anak sudah paham materi yang diajarkan
ident_angka_1,terkendali,benar,benar,benar,anak sudah mengikuti apa yang diajarkan
ident_angka_1,terkendali,benar,benar,benar,sudah bisa mengikuti kegiatan dengan baik
ident_angka_1,terkendali,benar,benar,benar,mengikuti kegiatan dengan baik
ident_angka_1,terkendali,benar,benar,benar,bisa memahami dengan baik
ident_angka_1,terkendali,benar,benar,benar,bisa mengerti kegiatan yang diajarkan
ident_angka_1,terkendali,benar,benar,benar,anak mengikuti kegiatan dengan baik
ident_angka_1,terkendali,salah,benar,benar,anak sedikit mengalami kesulitan
ident_angka_1,terkendali,benar,benar,benar,dikerjakan dengan baik
ident_angka_1,diam,salah,salah,benar,anak mengalami kesulitan
ident_angka_1,terkendali,benar,benar,benar,baik
ident_angka_1,terkendali,salah,benar,benar,anak belum paham dengan materi yang diajarkan
ident_angka_1,terkendali,benar,benar,benar,lancar
ident_angka_1,terkendali,benar,benar,benar,anak mengerti dengan baik
ident_angka_1,terkendali,benar,benar,benar,anak mengerti materi yang diajarkan
ident_angka_1,terkendali,benar,benar,benar,anak mengerti angka yang diberikan
ident_angka_1,terkendali,benar,benar,benar,anak paham angka yang diberikan
ident_angka_1,tantrum,benar,benar,salah_3,anak diberikan bantuan dalam mengidentifikasikan angka
ident_angka_1,terkendali,benar,benar,benar,paham
ident_angka_1,terkendali,benar,benar,benar,anak tahu angka yang diberikan
ident_angka_1,hiperaktif,benar,salah,benar,hari ini melakukan identifikasi angka 1
ident_angka_1,hiperaktif,benar,benar,benar,anak tahu angka yang diajarkan
ident_angka_1,diam,benar,benar,benar,anak mengerti angka yang diajarkan
ident_angka_1,diam,benar,benar,benar,mengerti
ident_angka_1,diam,salah,benar,benar,menggunakan kartu dengan angka 1 untuk belajar
ident_angka_1,terkendali,benar,salah,benar,anak belum paham dengan materi yang diajarkan
ident_angka_1,terkendali,benar,benar,benar,mantap
ident_angka_1,hiperaktif,salah_3,benar,benar,anak dibantu dalam mengidentifikasikan angka
ident_angka_1,hiperaktif,benar,salah,benar,mengajarkan anak mengidentifikasikan kartu dengan angka 1
ident_angka_1,hiperaktif,benar,benar,benar,anak melakukan identifikasi angka 1 dengan benar
ident_angka_1,terkendali,benar,benar,benar,menggunakan kartu dengan angka 1 untuk belajar
ident_angka_1,terkendali,benar,benar,benar,anak melakukan identifikasi angka 1 dengan benar
ident_angka_1,hiperaktif,salah,salah,salah,anak sulit untuk mengikuti materi karena sedang hiperaktif
ident_angka_1,terkendali,benar,benar,benar,anak melakukan identifikasi angka 1 dengan benar
ident_angka_1,tantrum,salah,salah,benar,anak sulit mengikuti materi karena tidak bisa konsentrasi
ident_angka_1,diam,benar,benar,benar,anak melakukan identifikasi angka 1 dengan benar
ident_angka_1,diam,salah,benar,benar,diem karena bingung 
ident_angka_1,diam,benar,benar,benar,kondisi anak cenderung diam tetapi bisa mengikuti
ident_angka_1,diam,benar,salah,benar,"diam sebelum sesi belajar, setelah diajak dan dipancing mainan dapat mengikuti perintah"
ident_angka_1,diam,benar,salah,salah,sudah dapat mengerti perintah atau soal 
ident_angka_1,hiperaktif,benar,benar,benar,menggunakan kartu dengan angka 1 untuk belajar
ident_angka_1,tantrum,benar,salah,salah,awalnya anak tantrum tetapi dilatih untuk menenangkan diri
ident_angka_1,tantrum,benar,salah,salah,anak sulit mengikuti materi karena tidak bisa konsentrasi
ident_angka_1,tantrum,salah,benar,benar,diperintah untuk duduk supaya dapat mengontrol emosinya
ident_angka_1,terkendali,benar,benar,benar,anak dapat menjawab dengan benar
ident_angka_1,terkendali,benar,benar,benar,"bagus, mengikuti perintah"
ident_angka_1,terkendali,benar,benar,benar,nurut dengan pengasuh dan sudah ada kontak mata
ident_angka_1,terkendali,benar,benar,benar,menunjuk angka sesuai perintah
ident_angka_1,terkendali,benar,benar,benar,"duduk, dapat menjawab, mengikuti aturan"
ident_angka_1,hiperaktif,salah,benar,benar,melempar dan tidak mau duduk karena ingin bermain 
ident_angka_1,tantrum,benar,benar,benar,ingin diperhatikan lebih atau mencari perhatian supaya digendong
ident_angka_1,tantrum,benar,benar,salah,"tidak mau nurut perintah, melempar benda"
